,CA,CP,EI,ER,TS
0,doctoral degree,project management professional,experience in the upstream oil and gas industry,experience in human resources,experience with the management of change process
1,masters of business administration,chartered accountant,experience in the downstream oil and gas industry,experience with leadership,experience in processing payables in financial software
2,bachelors degree in human resources,chartered human resources professional,experience with light or heavy oil marketing,"experience in a large, public company",experience with marketing analysis
3,bachelors of commerce,experience working in a corporate training function,experience with light or heavy oil sale,experience with benefits,experience with process operating
4,certificate in adult education,canadian compensation professional,experience in the downstream refining industry,experience with an integrated financial and payroll system,process hazard analysis
5,bachelors degree in organizational development,payroll compliance practitioner,experience in petroleum bi-products sales,experience working in a talent acquisition function,certifiedin production and inventory management
6,post-secondary degree in business,registered professional recruiter designation,experience in an operations support function within the oil and gas industry,experience in a human resources analytics function,canadian risk management
7,bachelors degree in psychology,certified employee benefit specialist,experience with oil processing,experience in payroll,financial risk manager
8,bachelors degree in social sciences,certified public manager,experience in the oil and gas industry,experience with diversity and inclusion,project management institute
9,diploma in psychology,certified business analysis professional,experience in a thermal facility,experience with human resources administration,experience with accounting systems
10,diploma in social sciences,certified management accountant,experience working in electrically classified areas,experience with workforce analytics,experience with engineering software
11,bachelors of education,chartered financial accountant,experience in refinery operations,experience as a business partner,experience with visualization and analytical tools
12,bachelors degree in accounting,canadian institute of chartered accountants,experience with oil and gas operational accounting,experience working with an integrated human resources and payroll system,construction management expecience
13,bachelors degree in finance,certified control systems technician,experience with completions,experience in an integrated talent management suite,managing software projects
14,masters degree in accounting,certified hazardous materials manager,experience in a refinery setting,experience with developing a human resources strategy,sap basis management
15,masters degree in finance,canadian association of petroleum production accounting,experience with safe work practices in the oil and gas industry,experience as a human resources generalist,progressive experience in sap pm
16,diploma in finance,journeyman - trades,experience in the upstream oil and gas industry,experience with a unionized manufacturing environment,experience in contract lifecycle management
17,bachelors degree in logistics,agrologist in training,experience in the downstream oil and gas industry,experience in accounting,progressive experience in sap scm
18,bachelors degree in law,registered environmental manager,experience in the downstream refining industry,experience in petrochemicals sales,experience of contract management
19,canadian association of petroleum land administration,qualified environmental professional,"progressive experience working in an engineering, maintenance and or operations application support function within the oil and gas industry",experience with managing regulated compliance vehicles,Ragav
20,bachelors degree in marketing,certified industrial hygienist,progressive experience in the oil and gas industry,experience in hydrocarbon supply operations,Ragav
21,bachelors degree in communications,canadian registered safety professional,experience in an ethanol refinery or industry with related fermentation process,experience with wholesale or petroleum products sales,Ragav
22,bachelor of science in engineering,journeyman - electrical,progressive experience in oil and gas plant maintenance,experience with operations sales,Ragav
23,diploma in accounting,journeyman - instrumentation,"experience in an industrial maintenance setting, preferably oil or gas processing",experience with cash management,Ragav
24,diploma in business,registered occupational hygienist,experience in the sagd industry,experience with bank reconciliations,Ragav
25,diploma in instrumentation technology,technical agrologist,"experience in an operations function involving steam generating equipment, oil processing and/or well equipment",experience with communications for project and work schedules,Ragav
26,general education development,certified maintenance and reliability professional,progressive experience in the oil and gas industry,experience in accounts payable,Ragav
27,bachelor of science,interprovincial electrical certification,experience in an ethanol refinery or industry with related fermentation process,experience in preparing project and work schedules,Ragav
28,maintenance management professional,chartered professional accountant,progressive experience in oil and gas plant maintenance,experience with the purchasing functions within a multi-unit retail environment,Ragav
29,diploma in power engineering,chartered financial analyst,"experience in an industrial maintenance setting, preferably oil or gas processing",production field operations,Ragav
30,masters of engineering,certified general accountant,experience in a thermal facility,experience in maintenance planning,Ragav
31,masters of mathematics,chartered insurance professional,experience in the sagd industry,experience in an operations function within a manufacturing plant environment,Ragav
32,bachelors of mathematics,fellow chartered insurance program,experience in refinery operations,experience with fermentation processes,Ragav
33,bachelors of engineering – mechanical,professional risk manager,"experience in an operations function involving steam generating equipment, oil processing and/or well equipment",experience working with minimal supervision,Ragav
34,bachelors of engineering – chemical,associate of society of actuaries,Ragav,experience in an industrial maintenance setting,Ragav
35,bachelors of engineering – environmental,fellow of the society of actuaries,Ragav,experience with plant maintenance,Ragav
